    Estimate       StdDev         2.5%        97.5%        ChiSq       PValue        N_Eff
     19.4559       1.7595      16.4481      23.2948 1.2366820636e+02       0.0000    7372.3515
      6.1621       0.2846       5.6027       6.7177 4.6881934355e+02       0.0000    5611.4232
      0.3856       0.0975       0.1944       0.5811 1.5741495223e+01       0.0001    6360.6895
     -0.3789       0.5894      -1.5396       0.7692 4.2681608119e-01       0.5136    6478.9040
     -0.3027       0.5821      -1.4445       0.8448 2.6651929833e-01       0.6057    7897.0500
      0.0171       0.0507      -0.0813       0.1166 1.1341065327e-01       0.7363    7576.2106
      4.4109       0.1980       4.0556       4.8265 4.9795227559e+02       0.0000    7380.3205
      0.2408       0.0579       0.1230       0.3501 1.7081361106e+01       0.0000    6261.2507
     -0.0404       0.0623      -0.1615       0.0815 4.2963421608e-01       0.5122    6471.6146
     -0.0319       0.0608      -0.1502       0.0892 2.6821962754e-01       0.6045    7913.1209
      0.0211       0.0621      -0.0993       0.1417 1.1424038620e-01       0.7354    7578.7051
      0.0714       0.0288       0.0246       0.1363 6.5506240530e+00       0.0105    6554.0145
      0.9286       0.0288       0.8637       0.9754 1.0332163974e+03       0.0000    6554.0145
     -0.3540       0.0786      -0.5128      -0.1964 2.0353620015e+01       0.0000    1329.7067
      0.0419       0.0924      -0.1373       0.2215 2.0790533592e-01       0.6484    2463.8399
     -0.0277       0.0140      -0.0558      -0.0011 4.0020771061e+00       0.0454    4113.3978
      0.0125       0.0277      -0.0422       0.0661 1.9841907736e-01       0.6560    3837.8210
      1.0000       0.0000       1.0000       1.0000          inf       0.0000          nan
      0.0000       0.0000       0.0000       0.0000          nan          nan          nan
     -0.2953       0.0804      -0.4499      -0.1415 1.3491066154e+01       0.0002    1029.8841
      0.0424       0.0920      -0.1372       0.2216 2.0896534539e-01       0.6476    2326.9795
     -0.0377       0.0143      -0.0668      -0.0099 7.0682771301e+00       0.0078    3555.8583
      0.0475       0.0275      -0.0070       0.1002 2.9462914763e+00       0.0861    3319.1765
      1.0000       0.0000       1.0000       1.0000          inf       0.0000          nan
      0.0000       0.0000       0.0000       0.0000          nan          nan          nan
     45.5856       0.3338      44.9060      46.2422 1.8637891471e+04       0.0000    1715.5578
     -0.8182       0.4014      -1.6134      -0.0310 4.1991465000e+00       0.0404    6173.4273
     -1.1176       0.4049      -1.8849      -0.3004 7.5502461681e+00       0.0060    5878.5166
      0.1875       0.1203      -0.0511       0.4210 2.4110059360e+00       0.1205    7741.5504
     29.8271       2.6118      25.2309      35.5152 1.3139690414e+02       0.0000    8166.6763
      0.0194       0.1683      -0.3172       0.3480 1.1496689632e-02       0.9146    1618.9697
      0.1007       0.2202      -0.3401       0.5226 1.9501715180e-01       0.6588    5348.9146
      0.3655       0.2146      -0.0608       0.7851 2.8860458625e+00       0.0893    5302.6971
      0.0491       0.0320      -0.0138       0.1116 2.3195564175e+00       0.1278    6352.8205
      7.9163       0.6930       6.7333       9.4475 1.3209291749e+02       0.0000    6349.0448
