"sex","age","discrim","bully","familism","internalize"
1,17,12,1,28,6
2,16,12,3,32,14
2,14,15,4,27,17
1,15,18,4,37,12
2,16,10,0,34,23
1,15,14,1,32,12
1,17,16,0,29,6
2,15,14,1,29,17
1,16,13,2,33,19
1,17,11,0,31,18
2,17,12,2,27,8
2,17,18,2,24,43
1,17,8,0,34,11
1,17,10,0,28,19
2,17,10,0,11,15
2,14,11,1,33,12
2,17,30,0,28,28
2,14,10,6,28,36
1,16,7,1,31,2
2,15,19,2,22,37
2,16,21,1,23,20
2,14,19,4,31,18
1,14,12,0,34,9
2,14,16,0,23,7
2,16,23,0,21,50
2,14,8,0,33,16
1,14,9,0,26,10
2,17,11,4,19,20
1,15,18,19,32,38
2,17,16,0,36,25
1,16,12,8,27,11
2,16,9,2,33,18
2,14,19,4,35,14
2,14,14,0,33,13
2,16,13,13,26,3
1,17,11,3,29,7
1,16,19,1,32,39
2,16,20,1,31,27
1,15,8,1,18,16
2,14,12,3,32,15
2,15,11,1,26,16
1,15,14,0,30,21
1,15,23,2,32,27
2,17,11,1,24,26
2,16,15,10,12,11
2,17,13,4,25,20
2,16,14,1,26,16
2,16,11,1,34,17
2,15,16,1,22,19
2,15,25,1,28,28
2,16,12,4,26,30
2,16,23,0,27,8
2,16,15,2,24,41
1,15,9,4,31,9
1,17,11,0,32,8
2,14,15,4,30,35
2,15,11,2,22,15
1,17,11,1,34,8
2,17,10,1,34,14
1,16,12,1,26,24
1,14,19,0,30,22
1,17,12,6,25,10
2,17,14,0,34,25
1,14,13,0,29,19
1,17,16,2,29,10
2,15,11,2,36,15
2,15,9,2,31,22
2,17,12,1,33,14
1,15,11,0,31,0
1,17,13,0,35,22
1,15,11,1,31,8
1,16,14,1,37,4
2,14,10,2,33,16
2,17,19,4,20,38
2,16,15,2,27,10
2,17,8,0,36,10
1,17,11,0,37,7
1,16,12,0,36,9
1,15,16,1,23,11
1,15,14,4,26,12
1,17,13,2,28,28
1,16,14,0,32,11
2,16,21,1,33,27
2,14,17,6,31,12
1,15,21,4,20,33
2,15,11,0,27,21
1,17,14,0,30,7
1,15,11,2,29,33
2,16,12,2,8,31
2,16,12,2,23,36
1,17,13,2,36,18
1,16,25,1,34,26
2,15,16,0,29,14
1,14,8,0,34,6
2,15,8,0,38,3
1,16,23,17,8,52
1,15,13,0,27,18
1,14,12,2,33,24
2,15,10,2,31,21
1,17,15,0,32,12
2,17,11,1,27,31
2,16,11,0,13,41
2,17,14,1,28,32
2,16,10,4,27,35
1,14,10,1,33,12
1,17,18,2,35,44
2,15,20,3,18,15
1,16,14,1,28,9
2,17,14,0,29,15
1,15,11,1,25,8
1,17,9,3,31,14
1,17,11,2,28,14
1,16,9,0,33,12
1,17,15,0,33,13
1,16,12,1,32,13
2,16,12,0,32,22
1,15,18,15,27,16
1,15,16,2,30,25
1,16,9,0,21,13
1,16,9,1,37,8
1,16,16,4,26,27
1,15,19,0,29,19
1,15,9,0,25,19
2,16,22,1,24,21
2,14,10,0,33,17
2,15,14,0,35,9
1,17,14,0,32,3
1,17,25,3,18,47
2,16,11,0,35,24
2,16,11,0,21,28
1,15,20,0,28,22
1,16,11,0,30,14
1,15,9,1,31,17
1,16,19,1,32,14
1,14,13,10,29,7
1,15,13,2,35,6
2,15,9,1,19,10
2,14,16,2,30,36
2,17,24,0,8,36
2,17,18,2,27,35
1,17,10,6,31,19
2,16,13,0,30,23
1,14,8,15,28,9
2,17,15,0,40,14
1,16,10,0,32,6
2,17,16,0,24,35
2,15,16,5,13,35
2,14,13,0,26,50
2,16,13,4,32,13
2,14,10,0,28,28
1,15,9,0,26,22
1,17,10,1,25,45
1,16,12,2,30,17
2,16,9,1,29,20
1,17,12,2,28,27
2,16,18,0,27,18
1,15,11,0,27,4
2,16,12,2,26,33
2,16,12,0,22,8
2,17,12,0,29,34
2,14,11,5,11,44
1,15,9,0,35,17
1,15,11,0,29,8
2,16,16,4,29,49
1,16,10,1,27,6
1,15,16,6,22,45
2,17,23,1,18,40
2,15,17,1,28,27
1,16,21,3,37,20
1,17,11,2,31,15
1,15,9,0,32,6
1,14,12,2,23,20
1,17,10,0,28,9
2,17,18,3,14,38
2,15,11,0,15,35
2,14,12,1,29,16
2,16,15,18,10,45
1,16,11,2,32,14
1,17,19,1,26,33
1,15,7,2,31,9
1,14,11,3,37,19
2,16,13,15,18,43
1,16,9,0,32,13
1,16,9,1,35,2
1,17,13,3,31,16
2,17,10,0,28,22
1,14,8,1,33,11
2,17,7,1,28,14
1,16,10,0,30,8
1,14,12,2,33,3
2,15,11,1,35,11
2,16,12,1,29,19
1,16,17,1,24,28
1,15,11,1,18,30
1,15,12,2,39,8
1,15,12,0,26,16
2,15,10,0,35,15
2,17,8,0,18,15
1,15,13,20,21,39
2,17,13,0,26,13
1,15,9,0,32,29
2,16,12,1,24,21
2,14,17,5,22,20
2,17,11,3,24,26
2,17,16,1,35,18
1,15,8,4,26,4
1,16,11,1,38,7
2,17,16,13,10,49
1,17,16,1,21,22
2,16,13,0,19,21
1,15,12,0,36,18
2,17,15,3,25,30
1,15,15,0,10,13
1,14,17,2,32,13
2,15,13,0,32,12
1,17,11,0,28,11
1,15,13,2,31,12
1,17,14,2,34,27
1,15,18,2,33,25
1,14,8,0,34,16
1,15,15,6,28,23
1,14,18,1,34,25
2,16,14,1,20,11
2,15,12,1,31,15
1,16,9,3,31,20
2,14,10,1,24,10
1,17,11,2,29,17
1,15,20,2,15,51
2,17,14,0,34,3
1,15,19,7,25,34
1,15,21,3,34,31
2,17,9,0,39,12
2,15,17,0,30,13
2,15,12,1,29,14
1,17,10,1,36,18
1,14,15,20,27,52
1,16,21,1,30,53
2,17,14,1,19,29
1,14,9,1,30,13
2,16,12,0,28,34
1,15,10,20,21,41
1,16,9,2,36,34
2,17,14,6,14,31
2,14,11,1,35,13
2,14,11,12,33,9
2,15,11,0,33,15
1,17,11,0,27,27
2,14,26,1,26,41
2,16,13,2,34,10
2,16,9,0,34,15
1,16,10,1,37,12
2,17,17,6,30,41
2,15,25,9,19,39
2,15,15,1,25,16
2,16,19,1,17,18
1,16,12,14,31,27
2,16,17,2,15,14
2,17,13,4,31,48
1,17,10,0,32,8
1,15,19,3,29,22
1,16,12,1,28,18
1,17,10,0,19,7
1,15,18,5,26,14
2,14,9,1,14,16
2,15,16,1,27,20
2,14,16,0,20,6
2,14,11,0,20,20
2,16,13,2,29,38
1,15,11,1,31,8
1,17,11,0,30,36
2,14,16,1,33,17
2,17,9,1,23,13
2,16,9,2,41,3
1,15,13,3,33,16
2,15,11,2,31,22
1,16,11,1,32,0
2,15,16,1,38,34
2,15,20,8,27,30
1,17,19,2,33,16
2,16,24,0,24,35
2,17,8,0,34,26
1,14,11,0,35,4
1,15,14,0,24,25
1,17,11,13,29,27
1,15,9,1,33,17
2,17,11,5,27,31
2,16,16,1,31,12
1,17,13,1,25,12
1,15,14,3,24,8
2,16,21,9,11,23
1,15,8,2,32,9
1,14,10,2,30,32
2,17,12,1,27,20
2,17,19,4,11,41
2,14,11,0,32,7
1,15,13,2,33,14
1,15,12,0,30,9
2,17,12,2,26,27
2,14,13,2,31,10
1,16,14,0,22,27
1,16,10,0,25,16
1,16,12,2,25,31
2,17,14,0,24,20
2,16,10,5,31,24
2,16,12,0,29,21
2,17,19,1,26,21
2,16,17,2,24,43
1,15,12,0,26,26
2,17,14,0,28,23
2,16,13,10,19,43
1,16,20,1,32,41
1,14,11,0,34,35
2,15,11,0,31,12
2,15,11,15,7,33
2,15,18,2,29,19
