"id","female","anxdep1","anxdep2","anxdep3","anxdep4","lonely1","lonely2","lonely3","lonely4"
1,0,0.91,1.64,1.94,NA,2.05,NA,NA,NA
2,0,0.93,0.92,NA,1.55,NA,1.89,NA,2
3,0,1.1,NA,1.12,2.27,1.95,NA,NA,2.47
4,0,0.99,0.65,1.71,1.58,1.71,1.45,NA,1.73
5,0,0.28,NA,NA,1.21,0.01,0.4,0.87,NA
6,0,1.73,0.64,0.7,NA,0.99,0.72,NA,0.62
7,0,0.69,0.75,NA,NA,0.97,1.06,1.44,NA
8,0,NA,NA,NA,1.85,NA,3.7,2.88,2.39
9,0,1.9,2.57,NA,NA,3.02,2.72,2.35,2.39
10,0,NA,NA,NA,1.96,1.12,1.61,NA,1.95
11,0,1.42,1.41,0.94,NA,2.65,2.57,2.43,NA
12,0,NA,1.17,NA,1.98,3.22,2.9,2.27,2.72
13,0,1.23,2.12,NA,2.38,2.16,2.08,NA,NA
14,0,NA,NA,0.98,1.74,1.98,1.92,1.74,1.65
15,0,0.89,1.95,1.85,2.04,1.34,2.13,2.49,NA
16,0,1.78,1.45,NA,NA,2.94,NA,2.04,1.45
17,0,0.99,1.65,1.97,1.87,1.17,1.99,NA,1.62
18,0,1.24,0.8,NA,1.77,2.09,NA,2.74,NA
19,0,2.23,2.24,2.91,2.17,2.64,2.62,2.51,NA
20,0,NA,1.16,NA,NA,1.78,NA,1.48,1.73
21,0,1.19,1.5,1.64,1.86,2.51,2.73,NA,2.62
22,0,NA,2.4,2.96,NA,1.67,1.4,NA,1.87
23,0,0.98,3.08,NA,1.98,0.6,2.06,2.7,NA
24,0,2.35,NA,2.48,1.71,NA,1.95,NA,NA
25,0,1.37,NA,2.86,NA,1.98,1.59,2.12,0.91
26,0,2.34,2.51,2.59,NA,3.06,3.3,4.05,3.91
27,0,1.64,NA,NA,NA,2.56,1.39,1.94,2.29
28,0,1.85,1.68,NA,2.25,NA,3.21,NA,3.89
29,0,1.9,1.7,NA,2.22,1.79,2.17,NA,NA
30,0,0.49,NA,1.55,1.57,0,1.3,NA,2.01
31,0,1.82,1.93,NA,2.1,2.85,2.71,3.23,3.05
32,0,1.82,1.91,2,2.12,2.41,NA,NA,NA
33,0,2.35,1.05,1.79,NA,NA,1.77,2.07,1.13
34,0,1.79,1.45,1.57,NA,NA,2.73,2.49,NA
35,0,2.55,NA,NA,2.12,3.11,3.26,NA,NA
36,0,0.72,1.55,1.08,NA,1.33,1.91,NA,1.79
37,0,NA,1.72,NA,2.14,1.16,NA,3.43,3.62
38,0,NA,1.22,1.68,1.96,NA,1.51,2.01,NA
39,0,1.6,1.48,1.8,2.27,NA,2.71,NA,3.07
40,0,1.21,1.6,NA,2.02,NA,2.74,NA,1.94
41,0,1.5,1.36,1.3,NA,1.88,1.62,2.42,1.47
42,0,2.05,1.41,NA,NA,1.89,2.11,2.03,1.56
43,0,1.74,NA,NA,1.94,2.45,2.83,3.19,3.41
44,0,1.3,1.78,0.75,NA,1.36,1.42,0.48,1.74
45,0,NA,1.34,0.8,2.06,3.1,NA,NA,3.62
46,0,2.25,2.87,NA,1.98,NA,2.97,NA,2.6
47,0,1.66,2.62,NA,1.59,NA,NA,1.69,2.17
48,0,0.98,0.85,1.53,1.78,NA,0.23,NA,2.36
49,0,1.99,2.28,NA,1.79,1.21,1.85,2.63,0.23
50,0,1.37,2.25,2.17,2.06,2.34,NA,NA,NA
51,0,0.84,1.39,NA,1.56,2.14,2.23,2.77,1.62
52,0,0.74,0.82,NA,NA,0.84,0.37,1.08,1.07
53,0,2.04,NA,2.09,1.95,NA,2.08,2.21,2.33
54,0,1.73,1.74,2.41,NA,1.2,1.89,1.23,0.7
55,0,NA,1.18,1.17,2.13,2.9,2.55,1.56,NA
56,0,1.64,1.65,1.83,NA,1.62,NA,2.35,2.01
57,0,2.38,2.96,NA,NA,3.12,NA,3.02,2.5
58,0,0.61,0.78,1.43,NA,1.82,1.64,2.23,NA
59,0,0.34,NA,NA,1.42,1.35,1.72,2.55,2.53
60,0,NA,1.43,1.83,NA,2.02,2.54,NA,1.78
61,0,0.91,2.08,0.49,1.73,NA,NA,NA,1.53
62,0,2.45,2.5,2.2,1.75,3.09,1.68,1.76,NA
63,0,NA,2.35,2.77,2.47,3.02,2.01,3.05,2.76
64,0,2.29,1.35,NA,1.77,2.23,1.77,1.23,1.45
65,0,1.3,2.11,1.66,1.78,0.79,2.17,2.45,2.98
66,0,NA,NA,2.54,2.01,NA,1.6,2.14,NA
67,0,1.59,NA,2.02,1.99,NA,NA,2.53,NA
68,0,NA,1.96,NA,1.96,2.52,NA,2.01,2.41
69,0,NA,0.52,0.02,NA,1.94,1.84,0.73,NA
70,0,0.69,0.8,1.53,1.93,NA,0.41,2.27,NA
71,0,1.07,1.07,1.29,1.86,2.54,NA,1.85,2.44
72,0,2,0.94,1.14,1.34,1.92,1.35,1.25,NA
73,0,NA,NA,1.09,1.5,1.48,1.86,2.09,NA
74,0,1.58,1.1,NA,NA,1.97,NA,2.08,NA
75,0,1.75,2.09,1.7,1.71,1.92,2.34,1.6,1.51
76,0,1.84,1.97,1.18,NA,NA,2.43,3.07,NA
77,0,0.83,1.79,1.04,1.75,1.95,1.99,1.06,1.58
78,0,2.47,1.79,NA,NA,2.87,NA,NA,NA
79,0,NA,2.71,1.85,NA,3.12,2.68,NA,3.54
80,0,NA,NA,0.63,1.52,1.92,2.19,NA,2.81
81,0,NA,1.1,1.54,NA,1.75,1.33,NA,NA
82,0,1,1.44,1.15,NA,NA,NA,1.95,NA
83,0,1.77,NA,1.55,1.82,1.33,1.85,NA,1.28
84,0,0.54,NA,0.7,1.54,2.56,1.72,2.54,NA
85,0,0.66,0.93,NA,1.57,1.46,1.92,NA,NA
86,0,1.01,0.36,NA,NA,NA,1.06,1.84,NA
87,0,1.71,1.32,1.76,NA,NA,2.91,NA,2.12
88,0,NA,2,2.54,2.15,2.89,2.95,NA,1.94
89,0,1.61,1.42,2.07,1.9,2.58,2.06,NA,3.49
90,0,NA,1.46,NA,NA,0.53,1.7,2.01,NA
91,0,NA,1.03,NA,NA,1.67,1.68,2.13,1.92
92,0,1.9,1.53,NA,NA,NA,2.15,2.28,2.23
93,0,2.61,NA,2.29,NA,NA,2.38,NA,2.31
94,0,NA,1.84,2.71,NA,2.19,2.75,2.52,2.54
95,0,1.85,1.32,NA,NA,1.07,NA,1.44,1.05
96,0,1.85,1.71,NA,2.17,2.38,2.83,2.25,NA
97,0,2.28,2.75,3.65,2.01,2.47,3.1,NA,2.64
98,0,NA,1.2,1.15,1.81,2.54,1.91,NA,2.24
99,0,1.35,1.38,1.81,NA,1.62,1.88,2.38,1.8
100,0,NA,NA,NA,NA,2.14,NA,1.08,1.04
101,0,0.7,0.77,1.32,NA,NA,2.13,1.4,NA
102,0,2.04,NA,2.59,NA,NA,1.95,3.7,NA
103,0,1.24,NA,1.15,NA,1.46,2.25,1.53,2.34
104,0,2.32,2.31,NA,NA,1.68,2.03,NA,2.3
105,0,1.75,NA,2.3,NA,3.43,2.79,NA,2.63
106,0,0.33,NA,NA,1.66,1.11,0.92,NA,NA
107,0,NA,0.68,NA,NA,1.28,NA,NA,1.61
108,0,1.28,1.19,NA,1.72,1.61,1.91,NA,NA
109,0,NA,1.96,1.88,NA,1.1,NA,NA,NA
110,0,1.43,1.72,NA,1.93,2.5,2.86,NA,2.29
111,0,NA,1.16,NA,NA,3.1,2.74,NA,NA
112,0,2.37,2.2,1.62,2.23,NA,2.84,2.41,NA
113,0,NA,1.53,2.3,2.05,0.19,1.21,1.15,2.05
114,0,1.37,NA,NA,NA,1.81,1.86,2.11,NA
115,0,2.01,1.21,NA,NA,2.82,1.36,NA,2.12
116,0,1.21,1.48,NA,NA,1.82,2.41,NA,2.78
117,0,0.63,0.94,1.43,2.01,NA,1.45,2.4,NA
118,0,NA,2.54,2.53,1.69,NA,NA,2.28,1.53
119,0,0.74,NA,1.41,1.5,0.15,1.26,NA,1.63
