id,male,esl,lrnprob1,lphigh1,lplevel1,read1,read9
1,0,0,57,1,1,105,123
2,0,1,59,1,1,153,123
3,0,1,49,0,0,123,119
4,0,0,50,0,0,107,115
5,0,0,56,1,1,119,NA
6,0,1,56,1,1,114,112
7,0,0,40,0,0,115,108
8,0,1,54,0,0,129,106
9,0,0,61,1,1,99,104
10,0,1,53,0,0,118,NA
11,0,0,38,0,0,124,104
12,0,1,56,1,1,103,104
13,0,0,57,1,1,105,102
14,0,0,39,0,0,95,102
15,0,NA,61,1,1,120,100
16,0,1,51,0,0,112,100
17,0,1,51,0,0,111,99
18,0,1,39,0,0,90,98
19,0,0,58,1,1,101,NA
20,0,1,68,1,2,NA,97
21,0,1,60,1,1,112,94
22,0,NA,46,0,0,70,94
23,0,0,NA,NA,NA,71,93
24,0,0,54,0,0,99,93
25,0,NA,46,0,0,91,93
26,0,NA,69,1,2,NA,93
27,0,0,65,1,2,82,92
28,NA,1,39,0,0,88,92
29,0,1,55,1,1,NA,92
30,0,0,64,1,2,86,NA
31,0,1,51,0,0,97,92
32,0,1,51,0,0,87,90
33,0,0,40,0,0,99,89
34,0,0,32,0,0,67,89
35,0,1,45,0,0,90,88
36,0,0,46,0,0,103,88
37,0,1,55,1,1,NA,87
38,0,1,38,0,0,91,87
39,0,1,61,1,1,77,87
40,0,1,53,0,0,97,86
41,0,0,47,0,0,83,85
42,0,1,76,1,2,102,NA
43,0,0,45,0,0,74,84
44,0,1,73,1,2,85,84
45,0,0,45,0,0,83,84
46,0,0,63,1,2,65,NA
47,0,1,59,1,1,89,83
48,0,0,45,0,0,69,82
49,0,0,48,0,0,68,82
50,0,0,49,0,0,67,81
51,0,0,47,0,0,74,81
52,0,1,66,1,2,88,81
53,0,0,55,1,1,80,79
54,0,1,57,1,1,84,78
55,0,0,58,1,1,100,76
56,0,1,55,1,1,78,75
57,NA,0,57,1,1,79,NA
58,0,1,38,0,0,73,NA
59,0,0,65,1,2,71,74
60,0,1,72,1,2,94,NA
61,0,NA,45,0,0,58,73
62,0,1,76,1,2,NA,72
63,0,1,50,0,0,74,70
64,0,NA,70,1,2,83,NA
65,0,1,NA,NA,NA,75,62
66,0,1,76,1,2,88,54
67,0,1,56,1,1,39,41
68,0,0,63,1,2,85,NA
69,0,1,57,1,1,81,79
70,0,1,51,0,0,105,79
71,0,0,51,0,0,75,76
72,0,0,42,0,0,83,NA
73,1,1,35,0,0,132,114
74,1,0,65,1,2,102,112
75,1,0,35,0,0,NA,109
76,1,0,37,0,0,64,107
77,1,0,35,0,0,104,104
78,1,1,36,0,0,94,103
79,1,0,41,0,0,98,102
80,1,0,40,0,0,82,102
81,1,0,43,0,0,70,101
82,1,0,59,1,1,92,101
83,1,1,51,0,0,112,101
84,1,0,47,0,0,105,97
85,1,0,51,0,0,85,NA
86,1,1,47,0,0,95,97
87,1,0,37,0,0,98,96
88,1,0,49,0,0,83,96
89,1,0,38,0,0,74,95
90,1,0,NA,NA,NA,71,94
91,1,1,37,0,0,88,94
92,1,0,70,1,2,118,NA
93,1,0,49,0,0,70,91
94,1,1,61,1,1,91,91
95,1,1,56,1,1,85,91
96,1,1,48,0,0,90,91
97,1,0,39,0,0,86,91
98,1,0,51,0,0,108,90
99,1,0,47,0,0,63,90
100,1,0,36,0,0,89,89
101,1,1,46,0,0,89,89
102,1,1,61,1,1,98,NA
103,1,0,53,0,0,84,88
104,1,1,41,0,0,108,88
105,1,0,61,1,1,75,87
106,1,0,39,0,0,77,87
107,1,0,61,1,1,79,NA
108,1,1,56,1,1,79,86
109,1,1,43,0,0,86,86
110,1,1,50,0,0,100,85
111,1,NA,49,0,0,76,NA
112,1,1,31,0,0,114,85
113,1,1,69,1,2,94,NA
114,1,1,59,1,1,86,84
115,1,0,74,1,2,86,NA
116,1,0,47,0,0,72,82
117,1,1,61,1,1,76,81
118,1,1,51,0,0,85,81
119,1,0,47,0,0,58,80
120,1,0,50,0,0,59,78
121,1,1,47,0,0,77,77
122,1,0,51,0,0,58,76
123,1,0,47,0,0,46,74
124,1,0,51,0,0,43,NA
125,1,0,59,1,1,51,NA
126,1,1,63,1,2,53,63
127,1,1,61,1,1,NA,62
128,1,1,61,1,1,60,54
129,1,1,45,0,0,44,51
130,1,0,88,1,2,NA,50
131,1,0,63,1,2,NA,NA
132,1,1,63,1,2,76,84
133,1,0,61,1,1,50,64
134,1,1,61,1,1,83,NA
135,1,1,51,0,0,93,91
136,1,1,49,0,0,70,NA
137,1,0,43,0,0,102,101
138,1,0,35,0,0,60,82
