consci1,consci2,consci3,consci4,consci5,consci6,emostab1,emostab2,emostab3,emostab4,emostab5,emostab6,orgcon1,orgcon2,orgcon3,orgcon4,orgcon5,orgcon6,workbeh1,workbeh2,workbeh3,workbeh4,workbeh5,workbeh6,consci,emostab,orgcon,workbeh
5,4,5,5,5,5,4,2,4,4,3,3,5,2,2,2,1,4,1,1,1,1,2,1,29,20,16,7
5,4,5,4,5,3,4,2,4,3,4,1,3,1,3,2,4,4,1,3,2,3,3,3,26,18,17,15
5,3,5,5,2,1,1,2,2,1,2,2,4,5,5,2,5,5,3,3,3,2,3,3,21,10,26,17
5,5,5,5,5,5,1,5,4,4,4,3,1,2,4,2,1,2,1,1,4,1,2,2,30,21,12,11
1,4,4,2,3,4,4,2,2,3,4,4,5,4,1,5,5,2,3,3,5,4,2,3,18,19,22,20
4,3,2,4,3,5,3,4,5,5,4,5,2,3,2,1,1,3,1,1,1,1,2,2,21,26,12,8
4,4,4,4,5,5,1,4,5,4,3,3,2,1,2,2,2,5,2,1,1,1,1,1,26,20,14,7
5,5,5,5,4,5,3,1,1,1,2,3,5,5,4,4,4,5,1,1,2,1,3,3,29,11,27,11
5,3,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,2,2,3,2,2,2,28,29,6,13
3,1,5,4,3,1,4,4,1,4,4,3,3,4,2,2,3,5,1,2,3,1,2,3,17,20,19,12
1,3,4,4,2,3,1,4,4,1,2,2,4,4,4,4,2,2,1,2,3,2,3,1,17,14,20,12
4,5,4,3,4,4,4,1,5,4,4,4,3,3,2,3,3,2,1,1,2,1,1,1,24,22,16,7
1,1,1,3,2,4,1,3,3,3,3,3,2,3,1,2,3,2,2,1,1,2,1,1,12,16,13,8
4,4,4,4,3,5,1,2,3,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,24,9,10,6
5,5,4,5,5,5,5,4,4,5,4,5,3,2,4,5,4,2,2,2,1,1,1,1,29,27,20,8
5,2,5,4,3,5,5,4,4,5,5,5,5,4,4,5,4,5,2,2,2,1,2,3,24,28,27,12
5,5,5,4,5,5,1,1,2,1,2,3,2,5,2,2,3,2,3,1,1,2,2,1,29,10,16,10
